Sentence #,Tag,Word
34,O,was
34,O,extensive
34,O,","
34,O,but
34,O,we
34,O,were
34,O,looking
34,O,for
34,O,purple
34,O,haze
34,O,","
34,O,which
34,O,wasn't
34,O,listed
34,O,but
34,O,made
34,O,for
34,O,us
34,O,upon
34,O,request
34,O,!
35,O,the
35,I,spicy
35,I,tuna
35,I,roll
35,O,was
35,O,unusually
35,O,good
35,O,and
35,O,the
35,B,rock
35,I,shrimp
35,I,tempura
35,O,was
35,O,awesome
35,O,","
35,O,great
35,O,appetizer
35,O,to
35,O,share
35,O,!
36,O,we
36,O,went
36,O,around
36,O,9:30
36,O,on
36,O,a
36,O,friday
36,O,and
36,O,it
36,O,had
36,O,died
36,O,down
36,O,a
36,O,bit
36,O,by
36,O,then
36,O,so
36,O,the
36,B,service
36,O,was
36,O,great
36,O,!
37,O,we
37,O,love
37,O,th
37,B,pink
37,I,pony
37,O,.
38,O,the
38,O,perfect
38,B,spot
38,O,.
39,O,food-awesome
39,O,.
40,O,service-
40,O,friendly
40,O,and
40,O,attentive
40,O,.
41,O,ambiance-
41,O,relaxed
41,O,and
41,O,stylish
41,O,.
42,O,don't
42,O,judge
42,O,this
42,B,place
42,O,prima
42,O,facie
42,O,","
42,O,you
42,O,have
42,O,to
42,O,try
42,O,it
42,O,to
42,O,believe
42,O,it
42,O,","
42,B,a
42,O,home
42,O,away
42,O,from
42,O,home
42,O,for
42,O,the
42,O,literate
42,O,heart
42,O,.
43,O,i
43,O,have
43,O,eaten
43,O,here
43,O,a
43,O,handful
43,O,of
43,O,times
43,O,","
43,O,for
43,O,no
43,O,reason
43,O,besides
43,O,sheer
43,O,convenience
43,O,.
44,O,(
44,O,i
44,O,hang
44,O,out
44,O,","
44,O,and
44,O,live
44,O,","
44,O,in
44,O,the
44,O,neighborhood
44,O,.
44,O,.
44,O,)
45,O,the
45,I,food
45,O,is
45,O,decent
45,O,.
46,O,however
46,O,","
46,O,it's
46,O,the
46,B,service
46,O,that
46,O,leaves
46,O,a
46,O,bad
46,O,taste
46,O,in
46,O,my
46,O,mouth
46,O,.
47,B,i
47,O,happen
47,O,to
47,O,have
47,B,a
47,O,policy
47,O,that
47,O,goes
47,O,along
47,O,with
47,O,a
47,O,little
47,O,bit
47,O,of
47,O,self-respect
47,O,","
47,O,which
47,O,includes
47,O,not
47,O,letting
47,O,a
47,B,waiter
47,O,intimidate
47,O,me
47,O,","
47,O,i
47,O,.
47,B,e
47,O,.
47,O,make
47,O,me
47,O,feel
47,O,bad
47,O,asking
47,O,for
47,O,trivialities
47,O,like
47,O,water
47,O,","
47,O,or
47,O,the
47,O,check
47,O,.
48,O,i
48,O,know
48,O,","
48,O,you
48,O,were
48,O,too
48,O,busy
48,O,showing
48,O,off
48,O,your
48,O,vintage
48,O,tee
48,O,shirt
48,O,and
48,O,looking
48,O,bored
48,O,","
48,O,but
48,O,my
48,O,agenda
48,O,is
48,O,i'm
48,O,here
48,O,to
48,O,eat
48,O,and
48,O,enjoy
48,O,the
48,O,company
48,O,of
48,O,friends
48,O,","
48,O,seeking
48,O,a
48,O,pleasant
48,O,experience
48,O,.
49,O,well
49,O,","
49,O,i
49,O,didn't
49,O,find
49,O,it
49,O,there
49,O,","
49,O,and
49,O,trust
49,O,","
49,O,i
49,O,have
49,O,told
49,O,everyone
49,O,i
49,O,can
49,O,think
49,O,of
49,O,about
49,O,my
49,O,experience
49,O,.
50,O,the
50,O,last
50,O,time
50,O,i
50,O,walked
50,O,by
50,O,it
50,O,looked
50,O,pretty
50,O,empty
50,O,.
50,O,hmmm
50,O,.
51,O,this
51,I,place
51,O,has
51,O,got
51,O,to
51,O,be
51,O,the
51,O,best
51,O,japanese
51,O,restaurant
51,O,in
51,O,the
51,O,new
51,O,york
51,O,area
51,O,.
52,O,i
52,O,had
52,O,a
52,O,great
52,O,experience
52,O,.
53,B,food
53,O,is
53,O,great
53,O,.
54,B,service
54,O,is
54,O,top
54,O,notch
54,O,.
55,O,i
55,O,have
55,O,been
55,O,going
55,O,back
55,O,again
55,O,and
55,O,again
55,O,.
56,B,i
56,O,tend
56,O,to
56,O,judge
56,B,a
56,O,sushi
56,O,restaurant
56,O,by
56,O,its
56,B,sea
56,I,urchin
56,O,","
56,O,which
56,O,was
56,O,heavenly
56,O,at
56,O,sushi
56,O,rose
56,O,.
57,O,it
57,O,melted
57,O,in
57,O,my
57,O,little
57,O,mouth
57,O,and
57,O,the
57,O,perfect
57,O,consistency-not
57,O,too
57,O,fishy
57,O,","
57,O,creamy
57,O,","
57,O,and
57,O,slightly
57,O,buttery
57,O,.
58,O,the
58,I,sushi
58,O,seemed
58,O,pretty
58,O,fresh
58,O,and
58,O,was
58,O,adequately
58,O,proportioned
58,O,.
59,O,the
59,B,rice
59,B,to
59,I,fish
59,I,ration
59,O,was
59,O,also
59,O,good--they
59,O,didn't
59,O,try
59,O,to
59,O,overpack
59,O,the
59,O,rice
59,O,.
60,O,we
60,O,took
60,O,advanatage
60,O,of
60,O,the
60,B,half
60,I,price
60,I,sushi
60,I,deal
60,O,on
60,O,saturday
60,O,so
60,O,it
60,O,was
60,O,well
60,O,worth
60,O,it
60,O,.
61,O,i
61,O,went
61,O,to
61,O,this
61,O,restaurant
61,O,with
61,O,a
61,O,woman
61,O,that
61,O,i
61,O,met
61,O,recently
61,O,.
62,O,she
62,O,lives
62,O,nearby
62,O,but
62,O,had
62,O,never
62,O,gone
62,O,to
62,O,this
62,O,establishment
62,O,thinking
62,O,that
62,O,it
62,O,might
62,O,be
62,O,too
62,O,touristy
62,O,.
63,O,surprisingly
63,O,nothing
63,O,could
63,O,be
63,O,further
63,O,from
63,O,the
63,O,truth
63,O,.
64,O,in
64,O,the
64,O,evening
64,O,","
64,O,this
64,O,place
64,O,attracted
64,O,a
64,O,well
64,O,dressed
64,O,","
64,O,with
64,O,it
64,O,","
64,O,ny
64,B,crowd
64,O,.
65,O,the
65,I,food
65,O,was
65,O,well
65,O,prepared
65,O,and
65,O,the
65,B,service
65,O,impecable
65,O,.
66,O,i'm
66,O,going
66,O,back
66,O,.
67,O,having
67,O,hunted
67,O,around
67,O,for
67,O,a
67,O,quiet
67,O,","
67,O,romantic
67,O,","
67,O,yet
67,O,not
67,O,hideously
67,O,expensive
67,O,restaurant
67,O,i
67,O,stumbled
67,O,across
67,O,reviews
67,O,for
67,O,la
67,O,lanterna
67,O,and
67,O,gave
67,O,it
67,O,a
67,O,shot
67,O,.
68,O,quite
68,O,simply
68,O,it's
68,O,like
68,O,stepping
68,O,out
68,O,of
68,O,manhattan
68,O,and
68,O,into
68,O,a
68,O,haven
68,O,of
68,O,tranquility
68,O,.
69,O,the
69,O,service
69,O,was
69,O,attentive
69,O,","
69,O,yet
69,O,unimposing
69,O,","
69,O,the
69,O,food
69,O,was
69,O,far
69,O,better
69,O,than
69,O,many
69,O,notorious
69,O,restaurants
69,O,in
69,O,midtown
69,O,and
69,O,the
69,O,wine
69,O,list
69,O,is
69,O,extensive
69,O,and
69,O,well
69,O,priced
69,O,.
70,O,the
70,I,prix
70,I,fixe
70,I,menu
70,O,is
70,O,worth
70,O,every
70,O,penny
70,O,and
70,O,you
70,O,get
70,O,more
70,O,than
70,O,enough
70,O,(
70,O,both
70,O,in
70,O,quantity
70,O,and
70,O,quality
70,O,)
70,O,.
71,O,i
71,O,will
71,O,be
71,O,going
71,O,back
71,O,and
71,O,heartily
71,O,recommend
71,O,it
71,O,!
72,O,i've
72,O,had
72,O,the
72,O,lunch
72,O,buffet
72,O,at
72,O,chennai
72,O,a
72,O,couple
72,O,of
72,O,times
72,O,","
72,O,when
72,O,i
72,O,have
72,O,been
72,O,in
72,O,the
72,O,neighborhood
72,O,.
73,O,it
73,O,is
73,O,terrific
73,O,","
73,O,as
73,O,is
73,O,the
73,O,value
73,O,.
74,O,$6
74,O,and
74,O,there
74,O,is
74,O,much
74,O,tasty
74,B,food
74,O,","
74,O,all
74,O,of
74,O,it
74,O,fresh
74,O,and
74,O,continually
74,O,refilled
74,O,.
75,B,i
75,O,am
75,O,not
75,O,a
75,O,vegetarian
75,O,but
75,O,","
75,O,almost
75,O,all
75,O,the
75,B,dishes
75,O,were
75,O,great
75,O,.
76,O,frankly
76,O,","
76,O,when
76,O,you
76,O,compare
76,O,what
76,O,you
76,O,can
76,O,have
76,O,here
76,O,for
76,O,lunch
76,O,","
76,O,versus
76,O,mcds
76,O,or
76,O,so
76,O,many
76,O,other
76,O,sandwich
76,O,shops
76,O,in
76,O,the
76,O,city
76,O,","
76,O,there
76,O,is
76,O,no
76,O,comparison
76,O,.
77,O,go
77,O,hungry
77,O,and
77,O,enjoy
77,O,.
78,O,the
78,I,food
78,O,here
78,O,is
78,O,rather
78,O,good
78,O,","
78,O,but
78,O,only
78,O,if
78,O,you
78,O,like
78,O,to
78,O,wait
78,O,for
78,O,it
78,O,.
79,B,i
79,O,like
79,O,the
79,B,somosas
79,O,","
79,B,chai
79,O,","
79,O,and
79,O,the
79,B,chole
79,O,","
79,O,but
79,O,the
79,B,dhosas
79,O,and
79,B,dhal
79,O,were
79,O,kinda
79,O,dissapointing
79,O,.
80,O,the
80,I,service
80,O,varys
80,O,from
80,O,day
80,O,to
80,O,day-
80,O,sometimes
80,O,they're
80,O,very
80,O,nice
80,O,","
80,O,and
80,O,sometimes
80,O,not
80,O,.
81,O,the
81,I,kitchen
81,O,however
81,O,","
81,O,is
81,O,almost
81,O,always
81,O,slow
81,O,.
82,O,also
82,O,","
82,O,specify
82,O,if
82,O,you
82,O,like
82,O,your
82,B,food
82,O,spicy-
82,O,its
82,O,rather
82,O,bland
82,O,if
82,O,you
82,O,don't
82,O,.
83,O,the
83,I,ambience
83,O,is
83,O,pretty
83,O,and
83,O,nice
83,O,for
83,O,conversation
83,O,","
83,O,so
83,B,a
83,O,casual
83,O,lunch
83,O,here
83,O,would
83,O,probably
83,O,be
83,O,best
83,O,.
84,O,just
84,O,went
84,O,here
84,O,for
84,O,my
84,O,girlfriends
84,O,23rd
84,O,bday
84,O,.
85,O,if
85,O,you've
85,O,ever
85,O,been
85,O,along
85,O,the
85,O,river
85,O,in
85,O,weehawken
85,O,you
85,O,have
85,O,an
85,O,idea
85,O,of
85,O,the
85,O,top
85,O,of
85,B,view
85,O,the
85,O,chart
85,O,house
85,O,has
85,O,to
85,O,offer
85,O,.
86,O,add
86,O,to
86,O,that
86,O,great
86,B,service
86,O,and
86,O,great
86,B,food
86,O,at
86,O,a
86,O,reasonable
86,O,price
86,O,and
86,O,you
86,O,have
86,O,yourself
86,O,the
86,O,beginning
86,O,of
86,O,a
86,O,great
86,O,evening
86,O,.
87,O,the
87,I,lava
87,I,cake
87,I,dessert
87,O,was
87,O,incredible
87,O,and
87,O,i
87,O,recommend
87,O,it
87,O,.
88,O,once
88,O,you
88,O,step
88,O,into
88,B,cosette
88,O,","
88,O,you're
88,O,miraculously
88,O,in
88,O,a
88,O,small
88,O,","
88,O,off-the-beaten
88,O,path
88,O,parisian
88,O,bistro
88,O,.
89,O,this
89,O,tiny
89,B,restaurant
89,O,is
89,O,as
89,O,cozy
89,O,as
89,O,it
89,O,gets
89,O,","
89,O,with
89,O,that
89,O,certain
89,O,parisian
89,O,flair
89,O,.
90,O,the
90,I,food
90,O,was
90,O,average
90,O,to
90,O,above-average;
90,O,the
90,B,french
90,I,onion
90,I,soup
90,O,filling
90,O,yet
90,O,not
90,O,overly
90,O,impressive
90,O,","
90,O,and
90,O,the
90,B,desserts
90,O,not
90,O,brilliant
90,O,in
90,O,any
90,O,way
90,O,.
91,O,however
91,O,","
91,O,go
91,O,for
91,O,the
91,B,ambience
91,O,","
91,O,and
91,O,consider
91,O,the
91,B,food
91,O,just
91,B,a
91,O,companion
91,O,for
91,O,a
91,O,trip
91,O,across
91,O,the
91,O,world
91,O,!
92,O,i
92,O,have
92,O,never
92,O,eaten
92,O,in
92,O,the
92,O,restaurant
92,O,","
92,O,however
92,O,","
92,O,upon
92,O,reading
92,O,the
92,O,reviews
92,O,i
92,O,got
92,O,take
92,O,out
92,O,last
92,O,week
92,O,.
93,O,it
93,O,was
93,O,horrible
93,O,.
94,O,the
94,I,pizza
94,O,was
94,O,delivered
94,O,cold
94,O,and
94,O,the
94,B,cheese
94,O,wasn't
94,O,even
94,O,fully
94,O,melted
94,O,!
95,O,it
95,O,looked
95,O,like
95,O,shredded
95,O,cheese
95,O,partly
95,O,done
95,O,-
95,O,still
95,O,in
95,O,strips
95,O,.
96,O,i
96,O,have
96,O,eaten
96,O,at
96,O,many
96,O,pizza
96,O,places
96,O,around
96,O,nyc
96,O,and
96,O,this
96,O,is
96,O,hands
96,O,down
96,O,the
96,O,worst
96,O,.
97,O,this
97,O,has
97,O,got
97,O,to
97,O,be
97,O,one
97,O,of
97,O,the
97,O,most
97,O,overrated
97,O,restaurants
97,O,in
97,O,brooklyn
97,O,.
98,O,the
98,I,pizza
98,O,is
98,O,overpriced
98,O,and
98,O,soggy
98,O,.
99,O,yes
99,O,","
99,O,they
99,O,use
99,O,fancy
99,B,ingredients
99,O,","
99,O,but
99,O,even
99,O,fancy
99,O,ingredients
99,O,don't
99,O,make
99,O,for
99,O,good
99,B,pizza
99,O,unless
99,O,someone
99,O,knows
99,O,how
99,O,to
99,O,get
99,O,the
99,B,crust
99,O,right
99,O,.
100,O,a
100,O,big
100,O,disappointment
100,O,","
100,O,all
100,O,around
100,O,.
101,O,i
101,O,think
101,O,i've
101,O,had
101,O,some
101,O,the
101,O,best
101,B,meals
101,O,of
101,O,my
101,O,life
101,O,at
101,O,minnow
101,O,.
102,O,the
102,I,seafood
102,B,is
102,O,amazing
102,O,","
102,O,there's
102,B,a
102,O,good
102,B,wine
102,I,list
102,O,","
102,O,and
102,O,the
102,O,ever-changing
102,B,menu
102,O,always
102,O,offers
102,O,some
102,O,great
102,O,surprises
102,O,.
103,O,the
103,O,combination
103,O,of
103,O,super-fresh
103,B,ingredients
103,I,in
103,O,the
103,O,dishes
103,O,are
103,O,unusual
103,O,but
103,O,really
103,O,delicious
103,O,.
104,O,worth
104,O,the
104,O,trip
104,O,from
104,O,manhattan
104,O,.
105,O,was
105,O,there
105,O,friday
105,O,night
105,O,.
106,O,best
106,I,pastrami
106,B,i
106,O,ever
106,O,had
106,O,and
106,O,great
106,B,portion
106,O,without
106,O,being
106,O,ridiculous
106,O,.
107,O,and
107,O,i've
107,O,been
107,O,to
107,O,many
107,O,nyc
107,O,delis
107,O,.
108,O,my
108,O,wife
108,O,had
108,O,the
108,B,fried
108,I,shrimp
108,O,which
108,O,are
108,O,huge
108,O,and
108,O,loved
108,O,it
108,O,.
109,O,price
109,O,no
109,O,more
109,O,than
109,O,a
109,O,jersey
109,O,deli
109,O,but
109,O,way
109,O,better
109,O,.
110,O,as
110,I,a
110,O,japanese
110,O,native
110,O,","
110,O,i've
110,O,lived
110,O,in
110,O,the
110,O,tristate
110,O,area
110,O,for
110,O,over
110,O,8
110,O,years
110,O,","
110,O,but
110,O,i
110,O,was
110,O,just
110,O,so
110,O,amazed
110,O,at
110,O,this
110,B,place
110,O,.
111,O,this
111,I,place
111,O,is
111,O,the
111,O,most
111,O,japanese
111,O,it
111,O,can
111,O,ever
111,O,get
111,O,.
112,O,the
112,I,signs
112,O,","
112,O,the
112,B,specials
112,I,menus
112,O,","
112,B,food
112,O,","
112,O,and
112,O,even
112,O,all
112,O,the
112,B,waitstaff
112,O,are
112,O,all
112,O,totally
112,O,japanese
112,O,.
113,O,this
113,I,place
113,O,is
113,O,worth
113,O,an
113,O,one-hour
113,O,drive
113,O,.
114,O,i
114,O,am
114,O,so
114,O,coming
114,O,back
114,O,here
114,O,again
114,O,","
114,O,as
114,O,much
114,O,as
114,O,i
114,O,can
114,O,.
115,B,leon
115,I,is
115,O,an
115,O,east
115,O,village
115,O,gem:
115,O,casual
115,O,but
115,O,hip
115,O,","
115,O,with
115,O,well
115,O,prepared
115,O,basic
115,B,french
115,I,bistro
115,I,fare
115,O,","
115,O,good
115,B,specials
115,O,","
115,B,a
115,O,warm
115,O,and
115,O,lively
115,B,atmosphere
115,O,.
116,O,my
116,O,wife
116,O,and
116,O,i
116,O,always
116,O,enjoy
116,O,the
116,O,young
116,O,","
116,O,not
116,O,always
116,O,well
116,O,trained
116,O,but
116,O,nevertheless
116,O,friendly
116,O,","
116,B,staff
116,O,","
116,O,all
116,O,of
116,O,whom
116,O,have
116,B,a
116,O,story
116,O,.
117,O,sit
117,O,outside
117,O,in
117,O,the
117,O,warm
117,O,weather;
117,O,inside
117,O,for
117,O,cozy
117,O,winter
117,O,.
118,O,decent
118,I,wine
118,O,at
118,O,reasonable
118,O,prices
118,O,.
119,O,have
119,O,been
119,O,dozens
119,O,of
119,O,times
119,O,and
119,O,never
119,O,failed
119,O,to
119,O,enjoy
119,O,the
119,O,experience
119,O,.
120,O,our
120,O,teenage
120,O,kids
120,O,love
120,O,it
120,O,","
120,O,too
120,O,.
121,O,everytime
121,B,i
121,O,decide
121,O,to
121,O,try
121,O,another
121,O,place
121,O,on
121,O,the
121,O,ues
121,O,","
121,O,i
121,O,get
121,O,angry
121,O,that
121,O,i
121,O,didn't
121,O,just
121,O,go
121,O,to
121,B,zucchero
121,I,pomodori
121,O,.
122,O,this
122,O,is
122,O,by
122,O,far
122,O,my
122,O,favorite
122,B,place
122,O,in
122,O,the
122,O,neighborhood
122,O,.
123,O,the
123,I,service
123,O,is
123,O,excellent
123,O,","
123,O,the
123,B,decor
123,O,is
123,O,great
123,O,","
123,O,and
123,O,the
123,B,food
123,O,is
123,O,delicious
123,O,and
123,O,comes
123,O,in
123,O,large
123,B,portions
123,O,.
124,O,you'll
124,O,pay
124,O,at
124,O,least
124,O,double
124,O,at
124,O,any
124,O,other
124,O,italian
124,O,restaurant
124,O,in
124,O,the
124,O,city
124,O,","
124,O,and
124,O,most
124,O,still
124,O,don't
124,O,compare
124,O,.
125,O,i'm
125,O,partial
125,O,to
125,O,the
125,B,gnocchi
125,O,.
126,O,this
126,I,place
126,O,is
126,O,incredibly
126,O,tiny
126,O,.
127,O,they
127,O,refuse
127,O,to
127,O,seat
127,O,parties
127,O,of
127,O,3
127,O,or
127,O,more
127,O,on
127,O,weekends
127,O,.
128,O,the
128,I,hostess
128,O,is
128,O,rude
128,O,to
128,O,the
128,O,point
128,O,of
128,O,being
128,O,offensive
128,O,.
129,O,the
129,I,food
129,O,was
129,O,bland
129,O,oily
129,O,.
130,O,i
130,O,just
130,O,don't
130,O,understand
130,O,all
130,O,the
130,O,hype
130,O,.
130,O,.
130,O,.
131,O,we
131,O,went
131,O,to
131,O,ino
131,O,for
131,O,valentines
131,O,.
132,O,we
132,O,have
132,O,been
132,O,to
132,O,this
132,O,place
132,O,many
132,O,times
132,O,","
132,O,and
132,O,always
132,O,have
132,O,great
132,B,food
132,O,","
132,B,wine
132,O,","
132,O,and
132,B,service
132,O,.
133,O,we
133,O,were
133,O,worried
133,O,we
133,O,would
133,O,have
133,O,trouble
133,O,getting
133,O,in
133,O,","
133,O,but
133,O,somehow
133,O,managed
133,O,to
133,O,have
133,B,a
133,O,short
133,B,wait
133,O,.
134,B,as
134,O,always
134,O,we
134,O,had
134,B,a
134,O,great
134,B,glass
134,I,of
134,I,wine
134,O,while
134,O,we
134,O,waited
134,O,.
135,O,when
135,O,we
135,O,sat
135,O,","
135,O,we
135,O,got
135,O,great
135,O,and
135,O,fast
135,B,service
135,O,.
136,O,the
136,I,people
136,O,that
136,O,work
136,O,there
136,O,are
136,O,always
136,O,so
136,O,friendly
136,O,you
136,O,forget
136,O,you
136,O,are
136,O,in
136,O,new
136,O,york
136,O,sometimes
136,O,.
137,O,make
137,O,sure
137,O,you
137,O,try
137,O,this
137,B,place
137,O,as
137,O,often
137,O,as
137,O,you
137,O,can
137,O,.
138,O,this
138,O,is
138,B,a
138,O,fun
138,B,restaurant
138,O,to
138,O,go
138,O,to
138,O,.
139,O,the
139,I,pizza
139,O,is
139,O,yummy
139,O,and
139,B,i
139,O,like
139,O,the
139,B,atmoshpere
139,O,.
140,O,but
140,O,the
140,B,pizza
140,O,is
140,O,way
140,O,to
140,O,expensive
140,O,.
141,O,a
141,O,large
141,O,is
141,O,$20
141,O,","
141,O,and
141,O,toppings
141,O,are
141,O,about
141,O,$3
141,O,each
141,O,.
142,O,i
